Atk. Move Type,Def. Pokemon Type,Damage Multiplier,Effectiveness
Fighting,Ice,2,Super-effective (200%)
Poison,Ice,,Normal (100%)
Ground,Ice,,Normal (100%)
Flying,Ice,,Normal (100%)
Psychic,Ice,,Normal (100%)
Bug,Ice,,Normal (100%)
Rock,Ice,2,Super-effective (200%)
Ghost,Ice,,Normal (100%)
Dragon,Ice,,Normal (100%)
Dark,Ice,,Normal (100%)
Steel,Ice,2,Super-effective (200%)
Fairy,Ice,,Normal (100%)
Normal,Fighting,,Normal (100%)
Fire,Fighting,,Normal (100%)
Water,Fighting,,Normal (100%)
Electric,Fighting,,Normal (100%)
Grass,Fighting,,Normal (100%)
Ice,Fighting,,Normal (100%)
Fighting,Fighting,,Normal (100%)
Poison,Fighting,,Normal (100%)
Ground,Fighting,,Normal (100%)
Flying,Fighting,2,Super-effective (200%)
Psychic,Fighting,2,Super-effective (200%)
Bug,Fighting,0.5,Not very effective (50%)
Rock,Fighting,0.5,Not very effective (50%)
Ghost,Fighting,,Normal (100%)
Dragon,Fighting,,Normal (100%)
Dark,Fighting,0.5,Not very effective (50%)
Steel,Fighting,,Normal (100%)
Fairy,Fighting,2,Super-effective (200%)
Normal,Poison,,Normal (100%)
Fire,Poison,,Normal (100%)
Water,Poison,,Normal (100%)
Electric,Poison,,Normal (100%)
Grass,Poison,0.5,Not very effective (50%)
Ice,Poison,,Normal (100%)
Fighting,Poison,0.5,Not very effective (50%)
Poison,Poison,0.5,Not very effective (50%)
Ground,Poison,2,Super-effective (200%)
Flying,Poison,,Normal (100%)
Psychic,Poison,2,Super-effective (200%)
Bug,Poison,0.5,Not very effective (50%)
Rock,Poison,,Normal (100%)
Ghost,Poison,,Normal (100%)
Dragon,Poison,,Normal (100%)
Dark,Poison,,Normal (100%)
Steel,Poison,,Normal (100%)
Fairy,Poison,0.5,Not very effective (50%)
Normal,Ground,,Normal (100%)
Fire,Ground,,Normal (100%)
Water,Ground,2,Super-effective (200%)
Electric,Ground,0,Normal (100%)
Grass,Ground,2,Super-effective (200%)
Ice,Ground,2,Super-effective (200%)
Fighting,Ground,,Normal (100%)
Poison,Ground,0.5,Not very effective (50%)
Ground,Ground,,Normal (100%)
Flying,Ground,,Normal (100%)
Psychic,Ground,,Normal (100%)
Bug,Ground,,Normal (100%)
Rock,Ground,0.5,Not very effective (50%)
Ghost,Ground,,Normal (100%)
Dragon,Ground,,Normal (100%)
Dark,Ground,,Normal (100%)
Steel,Ground,,Normal (100%)
Fairy,Ground,,Normal (100%)
Normal,Flying,,Normal (100%)
Fire,Flying,,Normal (100%)
Water,Flying,,Normal (100%)
Electric,Flying,2,Super-effective (200%)
Grass,Flying,0.5,Not very effective (50%)
Ice,Flying,2,Super-effective (200%)
Fighting,Flying,0.5,Not very effective (50%)
Poison,Flying,,Normal (100%)
Ground,Flying,0,Normal (100%)
Flying,Flying,,Normal (100%)
Psychic,Flying,,Normal (100%)
Bug,Flying,0.5,Not very effective (50%)
Rock,Flying,2,Super-effective (200%)
Ghost,Flying,,Normal (100%)
Dragon,Flying,,Normal (100%)
Dark,Flying,,Normal (100%)
Steel,Flying,,Normal (100%)
Fairy,Flying,,Normal (100%)
Normal,Psychic,,Normal (100%)
Fire,Psychic,,Normal (100%)
Water,Psychic,,Normal (100%)
Electric,Psychic,,Normal (100%)
Grass,Psychic,,Normal (100%)
Ice,Psychic,,Normal (100%)
Fighting,Psychic,0.5,Not very effective (50%)
Poison,Psychic,,Normal (100%)
Ground,Psychic,,Normal (100%)
Flying,Psychic,,Normal (100%)
Psychic,Psychic,0.5,Not very effective (50%)
Bug,Psychic,2,Super-effective (200%)
Rock,Psychic,,Normal (100%)
Ghost,Psychic,2,Super-effective (200%)
Dragon,Psychic,,Normal (100%)
Dark,Psychic,2,Super-effective (200%)
Steel,Psychic,,Normal (100%)
Fairy,Psychic,,Normal (100%)
Normal,Bug,,Normal (100%)
Fire,Bug,2,Super-effective (200%)
Water,Bug,,Normal (100%)
Electric,Bug,,Normal (100%)
Grass,Bug,0.5,Not very effective (50%)
Ice,Bug,,Normal (100%)
Fighting,Bug,0.5,Not very effective (50%)
Poison,Bug,,Normal (100%)
Ground,Bug,0.5,Not very effective (50%)
Flying,Bug,2,Super-effective (200%)
Psychic,Bug,,Normal (100%)
Bug,Bug,,Normal (100%)
Rock,Bug,2,Super-effective (200%)
Ghost,Bug,,Normal (100%)
Dragon,Bug,,Normal (100%)
Dark,Bug,,Normal (100%)
Steel,Bug,,Normal (100%)
Fairy,Bug,,Normal (100%)
Normal,Rock,0.5,Not very effective (50%)
Fire,Rock,0.5,Not very effective (50%)
Water,Rock,2,Super-effective (200%)
Electric,Rock,,Normal (100%)
Grass,Rock,2,Super-effective (200%)
Ice,Rock,,Normal (100%)
Fighting,Rock,2,Super-effective (200%)
Poison,Rock,0.5,Not very effective (50%)
Ground,Rock,2,Super-effective (200%)
Flying,Rock,0.5,Not very effective (50%)
Psychic,Rock,,Normal (100%)
Bug,Rock,,Normal (100%)
Rock,Rock,,Normal (100%)
Ghost,Rock,,Normal (100%)
Dragon,Rock,,Normal (100%)
Dark,Rock,,Normal (100%)
Steel,Rock,2,Super-effective (200%)
Fairy,Rock,,Normal (100%)
Normal,Ghost,0,Normal (100%)
Fire,Ghost,,Normal (100%)
Water,Ghost,,Normal (100%)
Electric,Ghost,,Normal (100%)
Grass,Ghost,,Normal (100%)
Ice,Ghost,,Normal (100%)
Fighting,Ghost,0,Normal (100%)
Poison,Ghost,0.5,Not very effective (50%)
Ground,Ghost,,Normal (100%)
Flying,Ghost,,Normal (100%)
Psychic,Ghost,,Normal (100%)
Bug,Ghost,0.5,Not very effective (50%)
Rock,Ghost,,Normal (100%)
Ghost,Ghost,2,Super-effective (200%)
Dragon,Ghost,,Normal (100%)
Dark,Ghost,2,Super-effective (200%)
Steel,Ghost,,Normal (100%)
Fairy,Ghost,,Normal (100%)
Normal,Dragon,,Normal (100%)
Fire,Dragon,0.5,Not very effective (50%)
Water,Dragon,0.5,Not very effective (50%)
Electric,Dragon,0.5,Not very effective (50%)
Grass,Dragon,0.5,Not very effective (50%)
Ice,Dragon,2,Super-effective (200%)
Fighting,Dragon,,Normal (100%)
Poison,Dragon,,Normal (100%)
Ground,Dragon,,Normal (100%)
Flying,Dragon,,Normal (100%)
Psychic,Dragon,,Normal (100%)
Bug,Dragon,,Normal (100%)
Rock,Dragon,,Normal (100%)
Ghost,Dragon,,Normal (100%)
Dragon,Dragon,2,Super-effective (200%)
Dark,Dragon,,Normal (100%)
Steel,Dragon,,Normal (100%)
Fairy,Dragon,2,Super-effective (200%)
Normal,Dark,,Normal (100%)
Fire,Dark,,Normal (100%)
Water,Dark,,Normal (100%)
Electric,Dark,,Normal (100%)
Grass,Dark,,Normal (100%)
Ice,Dark,,Normal (100%)
Fighting,Dark,2,Super-effective (200%)
Poison,Dark,,Normal (100%)
Ground,Dark,,Normal (100%)
Flying,Dark,,Normal (100%)
Psychic,Dark,0,Normal (100%)
Bug,Dark,2,Super-effective (200%)
Rock,Dark,,Normal (100%)
Ghost,Dark,0.5,Not very effective (50%)
Dragon,Dark,,Normal (100%)
Dark,Dark,0.5,Not very effective (50%)
Steel,Dark,,Normal (100%)
Fairy,Dark,2,Super-effective (200%)
Normal,Steel,0.5,Not very effective (50%)
Fire,Steel,2,Super-effective (200%)
Water,Steel,,Normal (100%)
Electric,Steel,,Normal (100%)
Grass,Steel,0.5,Not very effective (50%)
Ice,Steel,0.5,Not very effective (50%)
Fighting,Steel,2,Super-effective (200%)
Poison,Steel,0,Normal (100%)
Ground,Steel,2,Super-effective (200%)
Flying,Steel,0.5,Not very effective (50%)
Psychic,Steel,0.5,Not very effective (50%)
Bug,Steel,0.5,Not very effective (50%)
Rock,Steel,0.5,Not very effective (50%)
Ghost,Steel,,Normal (100%)
Dragon,Steel,0.5,Not very effective (50%)
Dark,Steel,,Normal (100%)
Steel,Steel,0.5,Not very effective (50%)
Fairy,Steel,0.5,Not very effective (50%)
Normal,Fairy,,Normal (100%)
Fire,Fairy,,Normal (100%)
Water,Fairy,,Normal (100%)
Electric,Fairy,,Normal (100%)
Grass,Fairy,,Normal (100%)
Ice,Fairy,,Normal (100%)
Fighting,Fairy,0.5,Not very effective (50%)
Poison,Fairy,2,Super-effective (200%)
Ground,Fairy,,Normal (100%)
Flying,Fairy,,Normal (100%)
Psychic,Fairy,,Normal (100%)
Bug,Fairy,0.5,Not very effective (50%)
Rock,Fairy,,Normal (100%)
Ghost,Fairy,,Normal (100%)
Dragon,Fairy,0,Normal (100%)
Dark,Fairy,0.5,Not very effective (50%)
Steel,Fairy,2,Super-effective (200%)
Fairy,Fairy,,Normal (100%)
